idx,doi,title,venue,date,openalex_id,has_abstract,abstract,error
11,10.1162/qjec.121.3.823,Rare Disasters and Asset Markets in the Twentieth Century*,The Quarterly Journal of Economics,2006-07,https://openalex.org/W2240968826,True,"The potential for rare economic disasters explains a lot of asset-pricing puzzles. I calibrate disaster probabilities from the twentieth century global history, especially the sharp contractions associated with World War I, the Great Depression, and World War II. The puzzles that can be explained include the high equity premium, low risk-free rate, and volatile stock returns. Another mystery that may be resolved is why expected real interest rates were low in the United States during major wars, such as World War II. The model, an extension of work by Rietz, maintains the tractable framework of a representative agent, time-additive and isoelastic preferences, and complete markets. The results hold with i.i.d. shocks to productivity growth in a Lucas-tree type economy and also with the inclusion of capital formation.",
12,10.1162/qjec.2008.123.1.101,Betting on Hitler—The Value of Political Connections in Nazi Germany*,The Quarterly Journal of Economics,2008-02,https://openalex.org/W1972065210,True,"Abstract This paper examines the value of connections between German industry and the Nazi movement in early 1933. Drawing on previously unused contemporary sources about management and supervisory board composition and stock returns, we find that one out of seven firms, and a large proportion of the biggest companies, had substantive links with the National Socialist German Workers' Party. Firms supporting the Nazi movement experienced unusually high returns, outperforming unconnected ones by 5% to 8% between January and March 1933. These results are not driven by sectoral composition and are robust to alternative estimators and definitions of affiliation.",
13,10.1162/qjec.2010.125.2.515,The (Perceived) Returns to Education and the Demand for Schooling<sup>*</sup>,The Quarterly Journal of Economics,2010-04,https://openalex.org/W2073400560,True,"Economists emphasize the link between market returns to education and investments in schooling. Though many studies estimate these returns with earnings data, it is the perceived returns that affect schooling decisions, and these perceptions may be inaccurate. Using survey data for eighth-grade boys in the Dominican Republic, we find that the perceived returns to secondary school are extremely low, despite high measured returns. Students at randomly selected schools given information on the higher measured returns completed on average 0.20-0.35 more years of school over the next four years than those who were not. (c) 2010 by the President and Fellows of Harvard College and the Massachusetts Institute of Technology..",
14,10.1162/qjec.2010.125.4.1435,Gaming Performance Fees By Portfolio Managers,The Quarterly Journal of Economics,2010-11,https://openalex.org/W2130649931,True,"We show that it is very difficult to devise performance-based compensation contracts that reward portfolio managers who generate excess returns while screening out managers who cannot generate such returns. Theoretical bounds are derived on the amount of fee manipulation that is possible under various performance contracts. We show that recent proposals to reform compensation practices, such as postponing bonuses and instituting clawback provisions, will not eliminate opportunities to game the system unless accompanied by transparency in managers' positions and strategies. Indeed, there exists no compensation mechanism that separates skilled from unskilled managers solely on the basis of their returns histories. (c) 2010 by the President and Fellows of Harvard College and the Massachusetts Institute of Technology..",
15,10.1093/qje/qjr058,"Long-Run Impacts of Unions on Firms: New Evidence from Financial Markets, 1961–1999 *",The Quarterly Journal of Economics,2012-01,https://openalex.org/W2113575220,True,"We estimate the effect of new private-sector unionization on publicly traded firms' equity value in the United States over the 1961--1999 period using a newly assembled sample of National Labor Relations Board (NLRB) representation elections matched to stock market data. Event-study estimates show an average union effect on the equity value of the firm equivalent to $40, 500 per unionized worker, an effect that takes 15 to 18 months after unionization to fully materialize, and one that could not be detected by a short-run event study. At the same time, point estimates from a regression discontinuity design--comparing the stock market impact of close union election wins to close losses--are considerably smaller and close to zero. We find a negative relationship between the cumulative abnormal returns and the vote share in support of the union, allowing us to reconcile these seemingly contradictory findings. Copyright 2012, Oxford University Press.",
16,10.1093/qje/qjt023,Managerial Miscalibration*,The Quarterly Journal of Economics,2013-08,https://openalex.org/W4244416934,True,"Abstract Using a unique 10-year panel that includes more than 13,300 expected stock market return probability distributions, we find that executives are severely miscalibrated, producing distributions that are too narrow: realized market returns are within the executives’ 80% confidence intervals only 36% of the time. We show that executives reduce the lower bound of the forecast confidence interval during times of high market uncertainty; however, ex post miscalibration is worst during periods of high uncertainty. We also find that executives who are miscalibrated about the stock market show similar miscalibration regarding their own firms’ prospects. Finally, firms with miscalibrated executives seem to follow more aggressive corporate policies: investing more and using more debt financing.",
17,10.1093/qje/qjv031,"Risk, Returns, and Multinational Production*",The Quarterly Journal of Economics,2015-09,https://openalex.org/W2150876546,True,"Abstract This article starts by unveiling a strong empirical regularity: multinational corporations exhibit higher stock market returns and earning yields than nonmultinational firms. Within nonmultinationals, exporters exhibit higher earning yields and returns than firms selling only in their domestic market. To explain this pattern, we develop a real option value model where firms are heterogeneous in productivity and have to decide whether and how to sell in a foreign market where demand is risky. Selling abroad is a source of risk exposure to firms: following a negative shock, they are reluctant to exit the foreign market because they would forgo the sunk cost they paid to enter. Multinational firms are the most exposed because of the higher costs they have to pay to invest. The calibrated model is able to match both aggregate U.S. export and foreign direct investment data, and the observed cross-sectional differences in earning yields and returns.",
18,10.1093/qje/qjv040,Rare Disasters and Exchange Rates *,The Quarterly Journal of Economics,2015-10,https://openalex.org/W2154820696,True,"Abstract We propose a new model of exchange rates, based on the hypothesis that the possibility of rare but extreme disasters is an important determinant of risk premia in asset markets. The probability of world disasters as well as each country’s exposure to these events is time-varying. This creates joint fluctuations in exchange rates, interest rates, options, and stock markets. The model accounts for a series of major puzzles in exchange rates: excess volatility and exchange rate disconnect, forward premium puzzle and large excess returns of the carry trade, and comovements between stocks and exchange rates. It also makes empirically successful signature predictions regarding the link between exchange rates and telltale signs of disaster risk in currency options.",
19,10.1093/qje/qjx022,The Growing Importance of Social Skills in the Labor Market*,The Quarterly Journal of Economics,2017-06,https://openalex.org/W1884571572,True,"Abstract The labor market increasingly rewards social skills. Between 1980 and 2012, jobs requiring high levels of social interaction grew by nearly 12 percentage points as a share of the U.S. labor force. Math-intensive but less social jobs—including many STEM occupations—shrank by 3.3 percentage points over the same period. Employment and wage growth were particularly strong for jobs requiring high levels of both math skill and social skills. To understand these patterns, I develop a model of team production where workers “trade tasks” to exploit their comparative advantage. In the model, social skills reduce coordination costs, allowing workers to specialize and work together more efficiently. The model generates predictions about sorting and the relative returns to skill across occupations, which I investigate using data from the NLSY79 and the NLSY97. Using a comparable set of skill measures and covariates across survey waves, I find that the labor market return to social skills was much greater in the 2000s than in the mid-1980s and 1990s.",
20,10.1093/qje/qjz011,Who Profits from Patents? Rent-Sharing at Innovative Firms*,The Quarterly Journal of Economics,2019-03,https://openalex.org/W2802161671,True,"Abstract This article analyzes how patent-induced shocks to labor productivity propagate into worker compensation using a new linkage of U.S. patent applications to U.S. business and worker tax records. We infer the causal effects of patent allowances by comparing firms whose patent applications were initially allowed to those whose patent applications were initially rejected. To identify patents that are ex ante valuable, we extrapolate the excess stock return estimates of Kogan et al. (2017) to the full set of accepted and rejected patent applications based on predetermined firm and patent application characteristics. An initial allowance of an ex ante valuable patent generates substantial increases in firm productivity and worker compensation. By contrast, initial allowances of lower ex ante value patents yield no detectable effects on firm outcomes. Patent allowances lead firms to increase employment, but entry wages and workforce composition are insensitive to patent decisions. On average, workers capture roughly 30 cents of every dollar of patent-induced surplus in higher earnings. This share is roughly twice as high among workers present since the year of application. These earnings effects are concentrated among men and workers in the top half of the earnings distribution and are paired with corresponding improvements in worker retention among these groups. We interpret these earnings responses as reflecting the capture of economic rents by senior workers, who are most costly for innovative firms to replace.",
21,10.1093/qje/qjac015,Competing Models,The Quarterly Journal of Economics,2022-03,https://openalex.org/W4226377896,True,"Abstract Different agents need to make a prediction. They observe identical data, but have different models: they predict using different explanatory variables. We study which agent believes they have the best predictive ability—as measured by the smallest subjective posterior mean squared prediction error—and show how it depends on the sample size. With small samples, we present results suggesting it is an agent using a low-dimensional model. With large samples, it is generally an agent with a high-dimensional model, possibly including irrelevant variables, but never excluding relevant ones. We apply our results to characterize the winning model in an auction of productive assets, to argue that entrepreneurs and investors with simple models will be overrepresented in new sectors, and to understand the proliferation of “factors” that explain the cross-sectional variation of expected stock returns in the asset-pricing literature.",
22,10.1093/qje/qjac022,Labor Market Returns and the Evolution of Cognitive Skills: Theory and Evidence,The Quarterly Journal of Economics,2022-04,https://openalex.org/W4226080738,True,"Abstract A large literature in cognitive science studies the puzzling “Flynn effect” of rising fluid intelligence (reasoning skill) in rich countries. We develop an economic model in which a cohort’s mix of skills is determined by different skills’ relative returns in the labor market and by the technology for producing skills. We estimate the model using administrative data from Sweden. Combining data from exams taken at military enlistment with earnings records from the tax register, we document an increase in the relative labor market return to logical reasoning skill as compared to vocabulary knowledge. The estimated model implies that changes in labor market returns explain 37% of the measured increase in reasoning skill, and can also explain the decline in knowledge. An original survey of parents, an analysis of trends in school curricula, and an analysis of occupational characteristics show evidence of increasing emphasis on reasoning as compared to knowledge.",
23,10.1093/qje/qjaf020,Revealed Beliefs and the Marriage Market Return to Education,The Quarterly Journal of Economics,2025-04,https://openalex.org/W4409454632,True,"Abstract We develop a new methodology to estimate subjective beliefs from hypothetical-choice data. Our identification approach is based on the novel insight that by varying the amount of information on future realizations of stochastic variables, discrete-choice experiments can identify not only preferences but also subjective beliefs. We formally prove this result in a general setting and apply it to design a strategic survey instrument to measure Rajasthani parents’ subjective beliefs over the joint distribution of girls’ age of marriage, education, and marriage match quality. Our approach allows us to quantify the importance of perceived marriage market returns to education and youth, and perform various counterfactual simulation exercises. We find that eliminating the perceived marriage market return to education causes a 60% drop in the number of girls still in school at age 16, and almost none continue their education by age 18. Responses to our strategic survey instrument allow us accurately to predict realized schooling trajectories in follow-up data we collect from the same sample five years after our experimental data collection.",
24,10.3982/ecta6964,Testing Hypotheses About the Number of Factors in Large Factor Models,Econometrica,2009-01,https://openalex.org/W1960920821,True,"In this paper we study high-dimensional time series that have the generalized dynamic factor structure. We develop a test of the null of k 0 factors against the alternative that the number of factors is larger than k 0 but no larger than k 1 >k 0. Our test statistic equals max k 0 >k&les;k 1 (Gamma k - Gamma k+1 )(Gamma k+1 - Gamma k+2 ), where Gamma i is the ith largest eigenvalue of the smoothed periodogram estimate of the spectral density matrix of data at a prespecified frequency. We describe the asymptotic distribution of the statistic, as the dimensionality and the number of observations rise, as a function of the Tracy-Widom distribution and tabulate the critical values of the test. As an application, we test different hypotheses about the number of dynamic factors in macroeconomic time series and about the number of dynamic factors driving excess stock returns. Copyright 2009 The Econometric Society.",
25,10.3982/ecta7432,Efficient Semiparametric Estimation of the Fama-French Model and Extensions,Econometrica,2012-01,https://openalex.org/W1839044816,True,"This paper develops a new estimation procedure for characteristic-based factor models&#13;\nof stock returns. We treat the factor model as a weighted additive nonparametric&#13;\nregression model, with the factor returns serving as time-varying weights and a set&#13;\nof univariate nonparametric functions relating security characteristic to the associated&#13;\nfactor betas. We use a time-series and cross-sectional pooled weighted additive nonparametric&#13;\nregression methodology to simultaneously estimate the factor returns and&#13;\ncharacteristic-beta functions. By avoiding the curse of dimensionality, our methodology&#13;\nallows for a larger number of factors than existing semiparametric methods. We&#13;\napply the technique to the three-factor Fama–French model, Carhart’s four-factor extension&#13;\nof it that adds a momentum factor, and a five-factor extension that adds an&#13;\nown-volatility factor. We find that momentum and own-volatility factors are at least as&#13;\nimportant, if not more important, than size and value in explaining equity return comovements.&#13;\nWe test the multifactor beta pricing theory against a general alternative&#13;\nusing a new nonparametric test",
26,10.3982/ecta7990,Testing for Smooth Structural Changes in Time Series Models via Nonparametric Regression,Econometrica,2012-01,https://openalex.org/W1951851612,True,"Checking parameter stability of econometric models is a long-standing problem. Almost all existing structural change tests in econometrics are designed to detect abrupt breaks. Little attention has been paid to smooth structural changes, which may be more realistic in economics. We propose a consistent test for smooth structural changes as well as abrupt structural breaks with known or unknown change points. The idea is to estimate smooth time-varying parameters by local smoothing and compare the fitted values of the restricted constant parameter model and the unrestricted time-varying parameter model. The test is asymptotically pivotal and does not require prior information about the alternative. A simulation study highlights the merits of the proposed test relative to a variety of popular tests for structural changes. In an application, we strongly reject the stability of univariate and multivariate stock return prediction models in the postwar and post-oil-shocks periods.",
27,10.3982/ecta7618,"Ambiguity, Learning, and Asset Returns",Econometrica,2012-01,https://openalex.org/W3123661715,True,"We propose a novel generalized recursive smooth ambiguity model which permits a three-way separation among risk aversion, ambiguity aversion, and intertemporal substitution. We apply this utility model to a consumption-based asset-pricing model in which consumption and dividends follow hidden Markov regime-switching processes. Our calibrated model can match the mean equity premium, the mean risk-free rate, and the volatility of the equity premium observed in the data. In addition, our model can generate a variety of dynamic asset-pricing phenomena, including the procyclical variation of price–dividend ratios, the countercyclical variation of equity premia and equity volatility, the leverage effect, and the mean reversion of excess returns. The key intuition is that an ambiguity-averse agent behaves pessimistically by attaching more weight to the pricing kernel in bad times when his continuation values are low.",
28,10.3982/ecta9678,Alpha as Ambiguity: Robust Mean-Variance Portfolio Analysis,Econometrica,2013-01,https://openalex.org/W3122121999,True,"We derive the analogue of the classic Arrow-Pratt approximation of the certainty equivalent under model uncertainty as de…ned by the smooth model of decision making under ambiguity of Klibano¤, Marinacci and Mukerji (2005).We study its scope via a portfolio allocation exercise that delivers a tractable mean-variance model adjusted for model uncertainty.In a problem with a risk-free asset, a risky asset, and an ambiguous asset, we …nd that portfolio rebalancing in response to higher model uncertainty only depends on the ambiguous asset's alpha, setting the performance of the risky asset as benchmark.In addition, the portfolios recommended by our model are not systematically conservative on the share held in the ambiguous asset: indeed, in general, it is not true that greater ambiguity reduces the optimal demand for the ambiguous asset.The analytical tractability of the enhanced Arrow-Pratt approximation renders our model especially well suited for calibration exercises aimed at exploring the consequences of ambiguity aversion on equilibrium asset prices.""Crises feed uncertainty.",
29,10.3982/ecta11069,Time-Varying Risk Premium in Large Cross-Sectional Equity Data Sets,Econometrica,2016-01,https://openalex.org/W1568004826,True,"We develop an econometric methodology to infer the path of risk premia from a large unbalanced panel of individual stock returns. We estimate the time-varying risk premia implied by conditional linear asset pricing models where the conditioning includes both instruments common to all assets and asset-specific instruments. The estimator uses simple weighted two-pass cross-sectional regressions, and we show its consistency and asymptotic normality under increasing cross-sectional and time series dimensions. We address consistent estimation of the asymptotic variance by hard thresholding, and testing for asset pricing restrictions induced by the no-arbitrage assumption. We derive the restrictions given by a continuum of assets in a multi-period economy under an approximate factor structure robust to asset repackaging. The empirical analysis on returns for about ten thousand U.S. stocks from July 1964 to December 2009 shows that risk premia are large and volatile in crisis periods. They exhibit large positive and negative strays from time-invariant estimates, follow the macroeconomic cycles, and do not match risk premia estimates on standard sets of portfolios. The asset pricing restrictions are rejected for a conditional four-factor model capturing market, size, value, and momentum effects.",
30,10.3982/ecta11412,A Rational Theory of Mutual Funds' Attention Allocation,Econometrica,2016-01,https://openalex.org/W2235026379,True,"The question of whether and how mutual fund managers provide valuable services for their clients motivates one of the largest literatures in finance. One candidate explanation is that funds process information about future asset values and use that information to invest in high-valued assets. But formal theories are scarce because information choice models with many assets are difficult to solve as well as difficult to test. This paper tackles both problems by developing a new attention allocation model that uses the state of the business cycle to predict information choices, which in turn, predict observable patterns of portfolio investments and returns. The predictions about fund portfolios ’ covariance with payoff shocks, cross-fund portfolio and return dispersion, and their excess returns are all supported by the data. In turn, these findings offer new evidence that some investment managers have skill and that attention is allocated rationally.",
31,10.3982/ecta11182,Financial Health Economics,Econometrica,2016-01,https://openalex.org/W3125222439,True,"We provide a theoretical and empirical analysis of the link between financial and real health care markets. This link is important as financial returns drive investment in medical research and development (R&D), which, in turn, affects real spending growth. We document a “medical innovation premium” of 4–6% annually for equity returns of firms in the health care sector. We interpret this premium as compensating investors for government-induced profit risk, and we provide supportive evidence for this hypothesis through company filings and abnormal return patterns surrounding threats of government intervention. We quantify the implications of the premium for the growth in real health care spending by calibrating our model to match historical trends, predicting the share of gross domestic product (GDP) devoted to health care to be 32% in the long run. Policies that had removed government risk would have led to more than a doubling of medical R&D and would have increased the current share of health care spending by more than 3% of GDP.",
32,10.3982/ecta14607,Risk Preferences and the Macroeconomic Announcement Premium,Econometrica,2018-01,https://openalex.org/W2885028637,True,"This paper develops a revealed preference theory for the equity premium around macroeconomic announcements. Stock returns realized around pre‐scheduled macroeconomic announcements, such as the employment report and the FOMC statements, account for 55% of the market equity premium. We provide a characterization theorem for the set of intertemporal preferences that generates a nonnegative announcement premium. Our theory establishes that the announcement premium identifies a significant deviation from time‐separable expected utility and provides asset‐market‐based evidence for a large class of non‐expected utility models. We also provide conditions under which asset prices may rise prior to some macroeconomic announcements and exhibit a pre‐announcement drift.",
33,10.3982/ecta18014,"Monetary Policy, Redistribution, and Risk Premia",Econometrica,2022-01,https://openalex.org/W4312743911,True,"We study the transmission of monetary policy through risk premia in a heterogeneous agent New Keynesian environment. Heterogeneity in households' marginal propensity to take risk (MPR) summarizes differences in portfolio choice on the margin. An unexpected reduction in the nominal interest rate redistributes to households with high MPRs, lowering risk premia and amplifying the stimulus to the real economy. Quantitatively, this mechanism rationalizes the role of news about future excess returns in driving the stock market response to monetary policy shocks and amplifies their real effects by 1.3–1.4 times.",
34,10.1257/000282806777212143,Investor Sentiment and Corporate Finance: Micro and Macro,American Economic Review,2006-04,https://openalex.org/W3123167306,True,"We document that net equity issuance is considerably more sensitive to aggregate stock returns and Q's than to firm-level stock returns and Q's. Very similar patterns also emerge when we look at merger activity. In light of earlier work (Campbell 1991, Vuolteenaho 2002) which finds that aggregate stock returns are less informative about future cashflows than are firm-level stock returns--and thus, potentially more strongly influenced by investor sentiment--these results suggest that both equity issuance and mergers are to a significant extent driven by market-timing considerations, as opposed to by purely fundamental factors.",
35,10.1257/aer.97.1.89,The Cross Section of Foreign Currency Risk Premia and Consumption Growth Risk,American Economic Review,2007-02,https://openalex.org/W3122685216,True,"Aggregate consumption growth risk explains why low interest rate currencies do not appreciate as much as the interest rate differential and why high interest rate currencies do not depreciate as much as the interest rate differential. Domestic investors earn negative excess returns on low interest rate currency portfolios and positive excess returns on high interest rate currency portfolios. Because high interest rate currencies depreciate on average when domestic consumption growth is low and low interest rate currencies appreciate under the same conditions, low interest rate currencies provide domestic investors with a hedge against domestic aggregate consumption growth risk. (JEL E21, E43, F31, G11)",
36,10.1257/aer.97.5.1978,"Diamonds Are Forever, Wars Are Not: Is Conflict Bad for Private Firms?",American Economic Review,2007-12,https://openalex.org/W3121608090,True,"This paper studies the relationship between civil war and the value of firms in a poor, resource-abundant country using microeconomic data for Angola. We focus on diamond mining firms and conduct an event study on the sudden end of the conflict, marked by the death of the rebel movement leader in 2002. We find that the stock market perceived this event as “bad news” rather than “good news” for companies holding concessions in Angola, as their abnormal returns declined by 4 percentage points. The event had no effect on a control portfolio of otherwise similar diamond mining companies. This finding is corroborated by other events and by the adoption of alternative methodologies. We interpret our findings in light of conflict-generated entry barriers, government bargaining power, and transparency in the licensing process. (JEL D74, G32, O13, O17, Q34)",
37,10.1257/aer.98.1.358,An Equilibrium Model of “Global Imbalances” and Low Interest Rates,American Economic Review,2008-03,https://openalex.org/W3125124862,True,"The sustained rise in US current account deficits, the stubborn decline in long-run real rates, and the rise in US assets in global portfolios appear as anomalies from the perspective of conventional models. This paper rationalizes these facts as an equilibrium outcome when different regions of the world differ in their capacity to generate financial assets from real investments. Extensions of the basic model generate exchange rate and foreign direct investment excess returns broadly consistent with the recent trends in these variables. The framework is flexible enough to shed light on a range of scenarios in a global equilibrium environment. (JEL: E44, F21, F31, F32)",
38,10.1257/aer.98.2.535,A Century of Global Equity Market Correlations,American Economic Review,2008-04,https://openalex.org/W2141397393,True,"In this paper, we use a unique long-run dataset of regulatory constraints on capital account openness to explain stock market correlations. Since stock returns themselves are highly volatile, any examination of what drives correlations needs to focus on long runs of data. This is particularly true since some of the short-term changes in co-movements appear to reverse themselves (Delroy Hunter 2005). We argue that changes in the co-movement of indices have not been random. Rather, they are mainly driven by greater freedom to move funds from one country to another. In related work, Geert Bekaert and Campbell Harvey (2000) show that equity correlations increase after liberalization of capital markets, using a number of case studies from emerging countries. We examine this pattern systematically for the last century, and find it to be most pronounced in the recent past. We compare the importance of capital account openness with one main alternative explanation, the growing synchronization of economic fundamentals. We conclude that greater openness has been the single most important cause of growing correlations during the last quarter of a century, though increasingly correlated economic fundamentals also matter. In the conclusion, we offer some thoughts on why the effects of greater openness appear to be so much stronger today than they were during the last era of globalization before 1914.(This abstract was borrowed from another version of this item.)",
