claims,paper_id
The stock price reaction upon CEO departure is negatively related to the CEO's prior pay.,1077
A more negative stock market reaction is associated with worse postdeparture firm performance.,1077
Inattention is associated with less pronounced acquirers' merger announcement abnormal stock returns.,1078
The stock price reaction upon CEO departure is negatively related to the firm's prior performance.,1080
The stock price reaction upon CEO departure is negatively related to the CEO's prior pay.,1080
The sensitivity of the CPT value function with respect to the stock allocation influences stock returns.,1086
"The large-loss aversion degree (LLAD) is a critical determinant of the well-posedness of the model, which is associated with stock returns.",1086
"Overconfident CEOs are more likely to pursue innovation, which influences stock returns.",1101
The end of the tax year is associated with more support for the CCAPM.,1112
The disposition effect is associated with stock returns as investors exhibit a tendency to sell assets that have risen in value rather than fallen.,1124
"The investor will sell at a loss when the asset has a sufficiently low Sharpe ratio, which influences stock returns.",1124
Revenue generation is strongly associated with stock returns.,1136
Replacing CEOs with more able CEOs is associated with improvements in subsequent stock returns.,1136
The negative relation between equity financing and future abnormal returns is mitigated by managerial ability.,1136
An increase in the expected jump size can increase stock investment.,1143
Risky allocations are elevated in both the risk tool and experience sampling conditions.,1151
Investor sentiment influences the breadth–return relationship.,1176
Disagreement is associated with the breadth–return relationship.,1176
Market-wide sentiment variation is associated with the breadth–return relationship.,1176
Same-sex domestic partnership benefit policies are associated with higher stock returns.,1180
Dividend volatility positively predicts future asset returns.,1181
Aggregate dividend volatility predicts future aggregate market returns.,1181
Dividend volatility of portfolios predicts future portfolio-level returns.,1181
Stock returns of larger firms lead those of smaller firms.,1188
There is a strong contemporaneous and a lead–lag relation in stock returns between firms from industry leaders' minor-segment industries and pure players in the industry leaders' major-segment industry.,1188
The Tiger Woods scandal negatively influences stock returns of his sponsors.,1195
Endorsement deals are associated with stock returns of competitors.,1195
The scandal sends a negative marketwide signal about the reputation risk associated with celebrity endorsements and influences stock returns.,1195
Advertising expenditures predict stock returns.,1196
The control threat from a hostile takeover attempt positively influences stock returns of peer firms.,1199
Investor expectations of economic conditions are associated with stock returns.,1203
Higher expected returns are positively linked to portfolio equity positions.,1203
Target analysts' coverage decisions are associated with better long-term stock performance of merged firms.,1204
Active mutual fund managers' over- and underweighting decisions contain valuable information about future stock returns.,1227
Stocks heavily overweighted by active funds outperform their underweighted counterparts by more than 7% per year.,1227
The adjusted dividend-price ratio is associated with stock returns.,1234
There is evidence of out-of-sample predictability associated with stock returns.,1234
Brand licensing announcements are associated with changes in the licensor firms' shareholder values.,1245
Investors react more favorably to announcements involving brands with greater ability to stimulate licensee product sales and thus generate higher royalties for the licensor.,1245
Investors react more favorably to announcements involving larger licensors.,1245
The stock-level contrarian score significantly predicts stock returns.,1253
Economic policy uncertainty positively forecasts log excess market returns.,1276
An increase of one standard deviation in economic policy uncertainty is associated with a 1.5% increase in forecasted three-month abnormal returns.,1276
Investor sentiment influences stock returns.,1300
"High beta stocks are overpriced in optimistic periods, affecting stock returns.",1300
"Investor behavior during pessimistic periods aligns more closely with rationality, impacting stock returns.",1300
Residential electricity usage predicts stock returns.,1305
Ambiguity aversion is negatively related to stock market participation.,1317
A-insensitivity is negatively related to stock market participation.,1317
Cash-flow news quantitatively explains the investment effect in the cross section of stock returns.,1321
The negative return predictability of asset growth is evident through the cash-flow news component of returns.,1321
The negative return predictability of investment growth is evident through the cash-flow news component of returns.,1321
The negative return predictability of accruals is evident through the cash-flow news component of returns.,1321
Aggregate purchases of company stock by lower-level employees predict future stock returns.,1322
Announcement abnormal returns are higher for matches with higher estimated productivity.,1325
Proxy contests influence stock returns.,1348
Poor stock performance predicts proxy contests.,1348
Weaker covenant protection is associated with higher risk-adjusted equity returns.,1354
Deviations in CMO compensation elements adversely impact stock returns.,1356
Changes in analyst forecast dispersion predict future cross-sectional stock returns.,1358
Higher information intensity is associated with lower future stock returns.,1360
Downside liquidity risk is associated with an economically meaningful return premium.,1361
Investor attention comovement is positively associated with excess stock return comovement.,1365
The volatility of the underlying stock return influences the probability that executives exercise options early.,1366
Search-based habitats can improve return predictability of related stocks.,1367
Large firms’ tail risk increases during recessions more than small firms’ tail risk.,1370
Interest rates predict future returns in currency markets.,1374
Restructuring charges influence the accrual anomaly and subsequent abnormal returns.,1379
Dynamic conditional beta is positively linked to the cross section of daily stock returns.,1380
Short-run expected economic growth is negatively related to future returns.,1382
Long-run expected economic growth is positively related to aggregate market returns.,1382
Lucky numerical stock listing codes are associated with inferior post-IPO abnormal returns.,1384
Political instability abroad influences firms' capital allocation and leads to lower stock returns.,1405
Higher investor–stock decoupling is associated with higher performance in mutual funds.,1417
Momentum profits are associated with higher short-term productivity.,1422
The value premium is associated with lower long-term productivity and higher operating leverage.,1422
Intangible investment outlays are associated with improved predictability of future stock returns.,1429
Investor overconfidence is associated with lower subsequent stock returns.,1431
An equity pairs trading strategy generates large and significant abnormal returns.,1435
The MAX-premium is associated with expected stock returns.,1437
There is a positive association between ex-day returns and adjustment factors.,1439
Order flow volatility strongly predicts stock returns in the cross section.,1440
Learning about persistence generates high and persistent stock return volatility mostly during recessions.,1458
Disagreement among agents fluctuates and earns a risk premium.,1458
Price movements in industrial metals such as copper and aluminum predict stock returns.,1460
Increasing industrial metal prices are good news for equity markets and predict stock returns.,1460
A one-standard-deviation increase in industrial metal returns predicts a price drop in monthly stock market returns.,1460
A one-standard-deviation increase in industrial metal returns predicts an increase in stock market returns during recessions.,1460
Selling output abroad is associated with higher stock returns.,1462
Restrictions placed on a manager's personal account result in higher expected returns.,1464
The investment-specific technological shock plays an important role in explaining return spreads.,1469
The risk shock plays an important role in explaining return spreads.,1469
Factors associated with alternative profitability measures forecast the equity premium.,1475
Several factors based on firms’ asset growth predict a significant decline in stock market volatility.,1475
Investment-based factors are strong predictors of an improvement in future economic activity.,1475
Factors that earn larger risk prices tend to be associated with state variables that are more correlated with future investment opportunities.,1475
Lead underwriter trades in IPO firms are significantly related to subsequent IPO abnormal returns.,1483
Underwriters’ information advantage is likely greater among IPOs with higher information asymmetry or subject to higher investor sentiment.,1483
The SDFs price international stock returns.,1491
"The first principal risk is associated with future economic growth and earns a relatively small implied Sharpe ratio, which is related to stock returns.",1491
"The second principal risk correlates with future changes in the long-term interest rate and earns a large implied Sharpe ratio, which is associated with stock returns.",1491
"Return predictability can significantly increase the value of deferring capital gains realization, which is associated with stock returns.",1494
Expected-return news predicts future returns.,1496
Information aggregation techniques influence stock returns.,1500
Emotional social media word of mouth influences firm abnormal stock returns.,1504
"Longer reporting streaks reflect lower risk during earnings announcements, leading to lower stock returns.",1505
Decreases in effective tax rates following tax reform experience positive returns.,1509
Option-implied prices predict stock returns.,1517
Stock price pressure is the primary driver of the option price-based stock return predictability.,1517
The success of certain funds in a financial conglomerate affects stock returns.,1523
The presence of star funds affects stock returns in ways consistent with investor attention.,1523
"Firms that call on more favorable analysts tend to underperform in the future, which influences stock returns.",1525
The conditional volatility of investment predicts excess stock market returns.,1526
Changes in the number of job postings are positively associated with changes in future stock returns.,1528
Analysts' use of EDGAR is associated with substantial and persistent abnormal returns.,1532
The speed of informed investors' trading reactions to newly generated private information can be explained by the expected profits from informed trading.,1539
Greater differences of opinion and tighter short-sales constraints are significant predictors of valuation differences between conglomerates and pure plays.,1540
Firms attracting abnormally high asymmetric attention from local relative to nonlocal investors earn higher returns.,1541
Weekly index put order flow positively predicts weekly S&P 500 index returns.,1546
Aggregate implied volatility spread (IVS) is significantly and positively related to future stock market returns.,1554
Exemption denials are associated with significant negative future abnormal returns.,1555
The focal firms' risk levels are significantly related to the proportion of shared tier-2 suppliers in their supply network.,1561
Focal firms experience negative abnormal returns as tier-2 suppliers are impacted by idiosyncratic risk events.,1561
"Firms with exploitation strategies are undervalued relative to firms with exploration strategies, which influences stock returns.",1563
Pre-IPO classification shifting is negatively associated with post-IPO stock returns.,1565
"Assets with low realized capital asset pricing model (CAPM) alphas outperform those with high alphas, which predicts stock returns.",1568
Incomplete information amplifies the relation between trading costs and future stock returns.,1569
The use of euphemisms by managers is negatively associated with future abnormal returns.,1576
The frequency of euphemism use moderates the negative market reaction to bad earnings news.,1576
The price-dividend ratio predicts stock returns.,1583
The variance risk premium of the aggregate stock market predicts stock returns.,1583
Currency value is associated with expected currency returns.,1584
Carry is associated with expected currency returns.,1584
Momentum is associated with expected currency returns.,1584
Expectations of future stock returns are influenced by the use of red color to represent financial data.,1589
Increased trading activity is associated with abnormal future stock returns.,1590
Productivity volatility risk is important for pricing variance risk in returns.,1591
Diversification increases the expected return of a portfolio.,1592
A Bayesian-averaging heterogeneous vector autoregressive portfolio choice strategy predicts excess returns.,1600
"The risk-return tradeoff adapts to the client’s risk profile, which depends on idiosyncratic characteristics, market returns, and economic conditions.",1607
The optimal portfolio’s Sharpe ratio and return distribution improve if the robo-advisor counters the client’s tendency to reduce market exposure during economic contractions when the market risk-return tradeoff is more favorable.,1607
Insider silence is associated with significantly lower stock returns.,1612
The variance risk premium predicts stock returns.,1615
Higher socially responsible investor (SRI) ownership is associated with negative stock returns.,1624
Employee turnover is significantly associated with future stock returns.,1626
Patent thickets are associated with lower subsequent stock returns.,1632
Firms that adopt DVR by default significantly underperform in terms of stock returns after Florange relative to those that reject DVR.,1640
Investor inattention is associated with stock returns.,1643
Low media coverage is linked to more pronounced stock return anomalies.,1643
The disaster risk index is a powerful predictor for stock returns.,1646
Global disaster risk drives stock returns primarily through the discount rate channel.,1646
The generalized lower bound may serve as an expected excess return proxy for individual stocks.,1651
Investor sentiment influences stock returns.,1654
High investor sentiment weakens the connection between fundamental economic predictors and stock returns.,1654
Low investor sentiment allows fundamental variables to be strong predictors of stock returns.,1654
Nonfundamental predictors perform well during high-sentiment periods and are associated with stock returns.,1654
The extent of offshoring potential is associated with industry risk premiums and stock returns.,1656
Deep learning signals predict stock returns.,1663
The combination of out-of-sample market excess return forecasts predicts stock returns.,1664
Terrorism affects target firm abnormal returns.,1666
Option trading volume predicts stock returns.,1668
Investor attention predicts stock returns.,1669
The scarcity of arbitrage capital influences stock returns.,1671
Variation across analysts in the earnings metric forecasted is associated with lower stock returns around the earnings announcement.,1672
"Variation in the earnings metric forecasted is incrementally associated with a lower earnings response coefficient, which predicts lower stock returns.",1672
The extracted factors from the reduced-rank approach are applied to model the cross-section of expected stock returns.,1673
The positive relation between the equity risk premium and the slope of the equity term structure is associated with stock returns.,1674
Obstructing the flow of information leads to significantly lower cumulative abnormal stock returns.,1678
"Expected returns vary cross-sectionally with investment, profitability, and expected growth, which influences stock returns.",1681
Utilization predicts excess returns.,1683
The asset pricing model should be used for computing expected returns.,1686
Cashflow-timing skills influence stock returns.,1689
A network risk premium introduces a new risk premium component that influences stock returns.,1690
The asset pricing model estimates individual stock returns.,1691
Manager fixed effects on systematic risk are positively related with manager fixed effects on stock returns.,1692
Ownership concentration is negatively related to expected stock returns.,1693
Changes in expected stock return over time are positively affected by changes in managerial incentives.,1693
Increased heat exposure impacts negatively on stock returns.,1695
Stock returns of firms with lower short selling constraints become significantly more sensitive to negative news reports.,1698
FOREXS predicts stock returns.,1702
Skewness preference of investors predicts stock returns.,1714
Return predictability associated with the mispricing component of market anomalies is stronger among firms with higher idiosyncratic skewness.,1714
Political affiliation predicts stock returns.,1722
Partisan beliefs about COVID are associated with abnormal stock returns.,1722
Emotional engagement influences trading performance.,1726
Current account uncertainty is associated with higher expected future excess returns on investment currencies.,1727
Expectations of contrarians and extrapolators are associated with aggregate stock market momentum and future stock performance.,1728
U.S. downside and upside variance risk premiums predict international stock returns.,1734
"DVP and UVP predict international stock returns through U.S. bad and good macroeconomic uncertainties, respectively.",1734
CEO activism results in positive market reactions.,1735
Smartphone trading app adoption leads to a decline in mutual fund investment returns.,1739
Sibling effect enhances corporate investment efficiency and stock returns.,1740
Investor regret predicts stock returns.,1745
Household-level regret measure predicts stock returns.,1745
Firms with higher cyber risk earn higher average stock returns.,1755
Investor logins influence stock returns.,1764
The disposition effect on returns since last login is associated with stock returns.,1764
AI analytics <relationship> stock returns.,1775
A global long-run consumption factor drives equity returns.,1784
Shorting costs influence the cross-section of returns.,1785
"Variation in energy consumption betas explains a large part of the premia related to value, investment, and operating profitability.",1790
The return autocorrelation of underlying stock is an important determinant of expected equity option returns.,1791
Statistical improvement in volatility forecasts translates into significant annual returns.,1799
Flow-driven noise trader risk predicts variance of factor returns.,1804
Expected variation of flow-induced noise trading forecasts covariance of factor returns.,1804
Imposing constraints can affect performance associated with returns.,1806
Cloud-based information risk positively predicts future stock returns of retail firms.,1807
Lagged high-frequency cross-sectional returns predict intraday return on the aggregate market portfolio.,1808
Targeted firms experience significantly lower stock returns during the enactment process of the corporate minimum tax.,1809
Operations management-related information significantly affects abnormal stock returns.,1811
"Stated OM focus predicts future abnormal returns consistently over one, two, and three months.",1811
Market ambiguity attitude predicts stock returns.,1813
Market volatility is associated with future stock returns.,1813
Aggregate retail attention negatively predicts marketwide returns.,1827
Aggregate institutional attention positively predicts future marketwide returns.,1827
The distribution of investor beliefs is associated with stock returns.,1834
Polarized stocks earn lower expected returns.,1834
The breadth of ownership is positively associated with expected returns for large stocks and negatively associated for small stocks.,1834
An interquartile increase in the firm’s uncertainty level is associated with 0.65% higher market-adjusted returns in the 10-day period before earnings announcements.,1837
Higher temperature sensitivity is associated with lower average future returns.,1839
Mispricing related to temperature sensitivity generates predictable patterns in returns.,1839
High nominal prices are associated with return momentum.,1840
Option characteristics predict stock returns.,1844
Liquidity preservation is associated with greater returns to liquidity provision during market stress.,1849
"Learning with information sources of different qualities endogenously generates value firms, growth firms, and a value premium in equilibrium.",1859
The learning model predicts an upward-sloping equity term structure for value firms and a flat equity term structure for growth firms.,1859
"The conditional model of asset returns allows for good and bad states of the world, influencing stock returns.",1865
"The conditional risk premia of observable factors are estimated from the latent factors, which are associated with stock returns.",1865
High-frequency stock returns are predictable.,1873
"Predictability in high-frequency returns is large, systematic, and pervasive.",1873
Correlations of individual income shocks are associated with stock market returns.,1874
Discussions on social media fueled the association between retail trading and subsequent stock returns.,1875
Management-sponsored proposals to reorganize closed-end investment companies are associated with significant abnormal returns.,1881
The day of the week influences stock returns.,1883
The turn of the year effect is associated with Japanese stock returns.,1883
Differences in information available influence systematic risk associated with securities.,1889
Listing announcements predict stock returns.,1893
Abnormal returns are associated with listing announcements.,1893
"NASDAQ has reduced the benefits associated with listing on a major stock exchange, influencing stock returns.",1893
"Stocks earn significant positive abnormal returns following the initial announcement of listing, predicting stock returns.",1893
"Stocks earn significant negative returns immediately after listing, influencing stock returns.",1893
"Proxy statement disclosures are associated with significantly positive abnormal returns around annual shareholder meetings, predicting stock returns.",1900
"Risk and expected return can increase around predictable, information-producing events, influencing stock returns.",1900
"Significant and prolonged negative abnormal returns are observed in the postsuspension period, predicting stock returns.",1901
Portfolios of small firm stocks are associated with rates of return in excess of those commensurate with their market sensitivities.,1904
Portfolios of small firm stocks react more severely than portfolios of large firm stocks when surprises do occur.,1904
Risk differences influence stock returns.,1908
Expected inflation and unexpected inflation are associated with stock returns.,1908
Tax-loss selling is associated with seasonality in stock returns.,1909
The predictive power of the multifactor methodology is superior for well-diversified portfolios and is associated with stock returns.,1919
International listings reduce stock returns.,1922
Growth rates in industrial production are associated with stock returns for small firms.,1929
The covariance of asset return with aggregate consumption rate changes is associated with the expected excess rate of return on a risky asset.,1930
The covariance of asset return with individual wealth change is associated with the expected excess rate of return on a risky asset.,1930
Stock returns positively influence future inflation rate changes.,1932
Stock returns positively influence future interest rate changes.,1932
Systematic skewness is associated with stock returns.,1936
MLPM rates inferred from market data appear to be related to equity market mean returns.,1939
The prior period's worst stock return performers (losers) outperform the prior period's best return performers (winners) in the subsequent period.,1942
Short interest is positively related to stock returns.,1946
Prior months' returns are positively related to changes in short interest.,1946
Changes in expected inflation and industrial production are associated with stock returns.,1954
Cancelled debt offerings are associated with negative excess returns of the firm's common stock.,1961
Divergence of opinion is associated with observed common stock returns.,1972
Odd-lot transactions are associated with the January effect in stock returns.,1978
Analysts' recommendations are associated with positive abnormal returns.,1987
Aggregate insider transactions predict stock returns.,1994
Managerial ownership is significantly related to abnormal returns in contested cases that are ultimately successful.,1996
The holiday effect is associated with abnormally high returns on the trading day before holidays.,1998
Friday's return influences Monday's stock returns.,2000
Changes in management ownership are related to announcement period abnormal returns.,2003
The presence of bubbles implies positive duration dependence in runs of high returns.,2007
Evidence of duration dependence in monthly real stock returns is found.,2007
Large price changes predict stock returns.,2014
Systematic abnormal return patterns are associated with stock returns.,2014
Acquisition announcement period returns are negatively correlated with spin-off announcement period returns and predict stock returns.,2016
Stock highlights are associated with strong positive abnormal returns.,2017
Dividend changes are associated with significant abnormal returns.,2022
Information transfer affects stock returns.,2022
Post-split excess returns are associated with stock returns.,2023
"Factors associated with the market, size, past return, book-to-market, and dividend yield help explain return comovement.",2027
Macroeconomic factors perform poorly in capturing stock returns.,2027
Exchange risk is priced in the Japanese stock market.,2037
The exchange risk is priced in both weak and strong yen periods.,2037
The exchange risk is priced regardless of the exchange rate measure used.,2037
Domestic bidders earn significantly positive average announcement period abnormal returns.,2045
Momentum strategies are associated with stock returns.,2046
Higher profits for momentum portfolios are associated with stock returns.,2046
Shifts in small investors' portfolios reflect past market movements and are associated with stock returns.,2048
Target firm shareholders gained abnormal returns from takeovers.,2049
The 1986 Tax Reform Act is associated with a strong November effect for prior losers in stock returns.,2055
"Differences in long-run returns are related to the scope and magnitude of investment barriers that induce segmentation of capital markets, which influences stock returns.",2057
"Post-issuance buy-and-hold abnormal returns are significantly and positively related to the offering's ability to generate a larger share of U.S. trading volume, affecting stock returns.",2057
Negative abnormal stock returns occur near record dates of stock splits.,2061
Lower returns are associated with more positive ex-date returns.,2061
Negative abnormal stock price reactions are associated with post-SEO earnings announcements.,2063
Goodwill had a large negative effect on stock returns of low capital thrifts in 1989.,2065
The elimination of put option values was largely responsible for the stock price decline.,2065
The behavior of momentum investors is typically more correlated to changes in the S&P 500.,2069
Market returns have a large economic impact on subsequent aggregate mutual fund flows.,2072
Unexpected earnings surprise predicts stock returns.,2076
The earnings surprise risk factor influences stock returns.,2076
Changes in population age structure are associated with stock market returns.,2086
Net outflows from the stock market are positively correlated with stock market returns.,2086
Net outflows from the stock market are negatively correlated with stock market returns.,2086
