topic_label,key_terms,first_5_terms
Lawsuits,"punitive damage, suit file, classaction, plaintiff lawyer, class action, suit allege, plaintiff attorney,
lawsuit file, compensatory damage, classaction suit, suit seek, file suit, classaction status, seek classaction, damage award, suit, unspecified damage, plaintiff, file lawsuit, seek unspecified","punitive damage, suit file, classaction, plaintiff lawyer, class action"
Clintons,"lewinsky, whitewater, rodham clinton, hillary rodham, rodham, clinton administration, president clinton,
independent counsel,
impeachment,
janet reno, clinton, starr, clinton plan, house counsel, rubin, watergate, robert rubin, bill clinton, paula, reno","lewinsky, whitewater, rodham clinton, hillary rodham, rodham"
US Senate,"majority leader, senate bill, daschle, house bill, hastert, senate majority, appropriations committee, senate floor, senate version, gop leadership,
lott, minority leader, senate appropriations,
leader trent, senate democrat, house floor, committee chairman, baucus,
leader harry, house gop","majority leader, senate bill, daschle, house bill, hastert"
Reagan,"contra, reagan administration, president reagan, shultz, george shultz, state george, regan,
irancontra,
james baker, secretary james, nicholas brady, reagan, secretary nicholas, assistant secretary, nicaraguan, meese, baker, carter administration, deputy assistant, sandinista","contra, reagan administration, president reagan, shultz, george shultz"
Bush/Obama/Trump,"obama administration,
trump administration, president donald, president barack, bush administration, president dick, president bush, president
joe, house press, barack, barack obama, bush plan, president obama, obama, cheney, dick cheney, president george, senior administration, bush, presidentelect Table IA.I – Continued from previous page","obama administration, trump administration, president donald, president barack, bush administration"
Elections,"sen obama, romney, sen mccain, dukakis, mitt romney, democratic primary, republican primary, mitt, gop primary, run mate, republican presidential, gop candidate, caucuses, republican nominee, senate race, republican candidate, democratic candidate, rubio, marco rubio, democratic nominee","sen obama, romney, sen mccain, dukakis, mitt romney"
European politics,"opposition party, socialist party,
ldp, parliamentary election, centerleft, parliamentary, rule party, centerright, rule coalition, main opposition, opposition politician,
liberal party, conservative party, opinion poll, national election, party member, upper house, coalition government, national assembly, referen- dum","opposition party, socialist party, ldp, parliamentary election, centerleft"
Middle east,"palestinian, gaza, hamas, serb, gaza strip,
israeli, plo,
israel, hezbollah, palestinian authority, arafat, mubarak, assad, milosevic, west bank, palestinian leader, netanyahu,
israeli official, damascus,
lebanese","palestinian, gaza, hamas, serb, gaza strip"
Nuclear/North Korea,"pyongyang, north korea, north korean, kim jong, nuclear program, daewoo, korean, seoul south,
jong, kim,
iran nuclear, nuclearweapons program, nonprolif- eration, south korean,
international atomic, korea, nuclearweapons, korean government, enrichment, korean company","pyongyang, north korea, north korean, kim jong, nuclear program"
Terrorism,"taliban, karzai, afghan, qaeda, kabul, pakistani,
islamabad, musharraf, hamid karzai, afghan government, kashmir, president hamid,
islamic state, osama, laden, pakistan, pervez, extremist group, hamid, suicide bomber","taliban, karzai, afghan, qaeda, kabul"
Iraq,"iraqi, saddam, saddam hussein, kurds, baghdad,
iraqi
leader,
iraqi government, erdogan,
iraqi official, ankara, northern iraq,
tayyip, abu dhabi, dhabi, recep, recep tayyip, bahrain,
turkish, hussein, persian","iraqi, saddam, saddam hussein, kurds, baghdad"
Russia,"yeltsin, moscow, putin, russian, kremlin, gorbachev, kiev, ukraine, russian president, boris yeltsin, president vladimir, medvedev, vladimir putin, ruble, ukrainian, mikhail gorbachev, vladimir, sergei, mikhail, gazprom","yeltsin, moscow, putin, russian, kremlin"
Trade agreements,"gatt, wto,
tariff,
trade representative, antidumping,
trade pact, protectionist,
trade official, general agreement,
freetrade agreement,
trade talk,
freetrade, trade policy, bilateral
trade,
trade barrier, unfair trade,
trade dispute, protectionism,
trade war,
trade deal","gatt, wto, tariff, trade representative, antidumping"
Latin America,"argentina, chavez,
latin,
latin america,
latin american, hugo chavez, cuban, colombia, president hugo, paulo brazil, castro, silva, argentine, puerto, puerto rico, fidel castro, caracas, havana, fidel,
luiz","argentina, chavez, latin, latin america, latin american"
Japan,"japanese company,
tokyo japan,
japan largest,
japan biggest, shinzo, minister shinzo, abe,
japanese business, strong yen,
japan ministry,
japanese con- sumer,
japanese bank,
japan bank,
japan economy,
japanese firm, osaka,
japanese market,
japan financial, big japanese, major japanese","japanese company, tokyo japan, japan largest, japan biggest, shinzo"
Canada/South Africa,"south africa, quebec, canadian government,
toronto stock, british columbia, calgary, canadian cent, mandela, ottawa, calgary alberta,
johannesburg, canada largest, africa, vancouver, apartheid, vancouver british, nova scotia, canadian, scotia, alberta Table IA.I – Continued from previous page","south africa, quebec, canadian government, toronto stock, british columbia"
China,"yuan, beijing, xinhua, chinese official, chinese government, chinese company, chinese, zhu, beijing china, china sea, chinese authority, chinese leader, jiang, wen, xinhua news, zhang, chinese bank, deng, guangzhou, china central","yuan, beijing, xinhua, chinese official, chinese government"
Southeast Asia,"jakarta,
thailand, southeast asia, rupiah, southeast asian, suharto,
indonesian, baht,
indonesia, bhd,
jakarta indonesia,
thai, malaysia, malaysian, hutchi- son whampoa, hutchison, philippine, pte, asia pacific, singapore dollar","jakarta, thailand, southeast asia, rupiah, southeast asian"
Germany,"east german, helmut kohl, bonn, chancellor helmut, helmut, german company, east germany, german official, west germany, chancellor gerhard, germany largest, gerhard, german chancellor, german bank, gmbh, berlin, supervisory board, merkel, german economy, german government","east german, helmut kohl, bonn, chancellor helmut, helmut"
France/Italy,"generale, chirac, societe generale,
french government, sarkozy, societe,
french bank, belgium,
francois,
french company, cie,
italian,
french, belgian,
jacques chirac,
italian bank, president
francois,
french president, president
jacques,
italy","generale, chirac, societe generale, french government, sarkozy"
UK,"gbp, scotland, hold plc, scotland group, plc british, british bank, british company, scottish, group plc, unit kingdom, minister margaret,
london british,
lloyd bank, plc, westminster, bank plc, westminster bank, edinburgh, gordon brown, britons","gbp, scotland, hold plc, scotland group, plc british"
Music industry,"album, record label, song, record company, music industry, universal music, music group, music company, emi, musicians, music, concert, warner music, jazz, rap, band, singer, musical, singing, promoter","album, record label, song, record company, music industry"
Broadcasting,"clear channel, broadcaster, broadcast, cable channel, broadcast network,
television station, cos nbc, nbc, viewership,
liberty media, news network,
television network, cable news, primetime, national broadcast, cbss, news channel, espn, channel, corps fox","clear channel, broadcaster, broadcast, cable channel, broadcast network"
Publishing,"barnes noble, circulation,
time mirror, random house, magazine publisher, daily news, gannett, newspaper publisher, daily newspaper, chicago tribune, newsweek, publisher, publishes, barnes,
journalism, newspaper, simon schuster,
tribune, publish company, manage editor","barnes noble, circulation, time mirror, random house, magazine publisher"
Marketing,"saatchi,
interpublic, omnicom, ddb, rubicam, saatchi saatchi, bbdo, wpp, young rubicam, publicis, omnicom group, wpp group, walter thompson,
interpublic group,
leo burnett, ogilvy mather,
foote cone, mccannerickson, ogilvy, mediabuying","saatchi, interpublic, omnicom, ddb, rubicam"
Movie industry,"boxoffice, hollywood, paramount picture, motion picture, dreamworks, studio, sony picture, eisner, hollywood studio, mattel,
theme park, movie, disney, hasbro, movie studio, columbia picture, animation, marvel, sequel,
theatrical","boxoffice, hollywood, paramount picture, motion picture, dreamworks"
Economic ideology,"letter letter, relate letter, hoover institution, moral,
liberalism, enterprise institute, american enterprise, morality, hoover,
franklin roosevelt, capitalism, roosevelt, civilization, rightly,
truman,
freedom, myth, selfinterest, welfare state, courage","letter letter, relate letter, hoover institution, moral, liberalism"
Schools,"public school, private school, high school, school, curriculum,
test score,
teacher union, school board, student, school district, school system, educators, classroom,
teacher, elementary, elementary school, graduation,
faculty, education department, graduate Table IA.I – Continued from previous page","public school, private school, high school, school, curriculum"
Sales call,"conference room, salesman, salesmen, boss, phone call, hotline, colleague, receive call, desk, stunned, huddled, caller, wanted, summoned, knew, began work, replied, salespeople, staffer,
facetoface","conference room, salesman, salesmen, boss, phone call"
"Cultural
life","dog, cowboy, deer,
jacket, shirt, sweat,
tshirt, cat, wear, shower, horse, purple, dirt, dusty, wooden, baseball, bike,
tennis, stadium, shiny","dog, cowboy, deer, jacket, shirt"
Arts,"sothebys, museum, auction house, art, collector, gallery, portrait, exhibit,
thcentury, artistic, paint, statue, exhibition, monument, opera, auctioneer, collection, historian, archive,
tribute","sothebys, museum, auction house, art, collector"
Immigration,"immigrant,
illegal
immigrant, migrant, census, census bureau,
immigration law, undocumented,
immigration, citizenship,
illegal
immigration, migration, legal status, deportation, poverty,
inequality, population growth, residency,
latino, hispanic,
food stamp","immigrant, illegal
immigrant, migrant, census, census bureau"
Positive sentiment,"awful
lot, pretty good, spend lot, good time, awful, good idea, making money, people feel, good deal, big money,
feel good, pretty, good reason,
lot, spend money,
lose money,
luck,
feel comfortable, hard time, bad idea","awful
lot, pretty good, spend lot, good time, awful"
Humor/language,"phrase,
fool, word, humor, polite,
translation, stupid,
funny, emotion,
tongue, honest, dumb,
jargon, metaphor, honesty, silly,
joke,
truth, answer,
fascinat- ing","phrase, fool, word, humor, polite"
Gender issues,"female, young women, mother, daughter, divorce,
father, young children, sexual harassment,
family member, wives, male, husband, women, dad, child, married, young adult, mom, marry, sex","female, young women, mother, daughter, divorce"
Changes,"major shift, shift,
fundamental change, big change, major change, significant change, rethink, rapid change, direction, change, dramatic, emphasis,
turn point, chang, reversal, urgency, move closer, move quick, reshape,
focus","major shift, shift, fundamental change, big change, major change"
Key role,"key role, play role, play key, play major, major role,
important role, big role, play big,
lead role, active role, central role, role, bigger role, play, close relationship, potential conflict, play part, relationship, play field,
influence","key role, play role, play key, play major, major role"
Problems,"problem face, biggest problem, big problem, matter worse, major problem, real problem, bigger problem, similar problem, solve,
fundamental problem, problem, predicament, mess, plague, debacle, fiasco, disastrous, financial problem, problem include,
inability","problem face, biggest problem, big problem, matter worse, major problem"
Challenges,"uphill battle, uphill,
face tough,
face pressure, battle,
intense pressure, challenge face, status quo, quo,
face challenge,
increase pressure,
tactic, fight, bruising,
tough decision, backfire, backlash, bitter,
face grow, persuade","uphill battle, uphill, face tough, face pressure, battle"
Small possibility,"door open,
time frame,
frame, door, move quick,
left open, wait,
leave, ready,
takes place, open, exit,
left, stay,
lock, quick, bringing, hand, final, rush","door open, time frame, frame, door, move quick"
Spring/summer,"early march,
late summer, close watch,
late march, watch close, early sign, early stage, summer, watch, show sign, dash, early, spring, stage, warn sign, midmarch,
turn point, slow start, began,
fade Table IA.I – Continued from previous page","early march, late summer, close watch, late march, watch close"
Long/short term,"long term, short
term,
long run,
longer term,
long time,
term limit, short run,
long period,
long haul,
long,
term,
long history,
long overdue,
long list, longer, short
time, short period, shorter, short, sooner","long term, short
term, long run, longer term, long time"
Research,"survey conduct, respondents, survey show, survey, survey release, methodology, data compile, statistical, gallup, study release, data show, percent, study show, compile, satisfaction, measurement, statistics show, study suggest, snapshot, sample","survey conduct, respondents, survey show, survey, survey release"
Scenario analysis,"financial analysis, commentary, worstcase scenario, worstcase, analysis,
foreseeable,
foreseeable future, conventional wisdom,
imply, scenario, probability, adverse effect, plausible,
theoretical, certainty, wisdom, consequence, assumption, negative effect,
theory","financial analysis, commentary, worstcase scenario, worstcase, analysis"
Programs/initiatives,"program aim, goal, broader effort,
top priority, pilot program,
initiative, ambitious, achieve, program design, high priority, priority, revamp, aim,
impor- tant step, remain committed, ambitious plan, objective, making progress, progress, development program","program aim, goal, broader effort, top priority, pilot program"
Biology/chemistry/physics,"gene, dna, mice, molecules, biology, scientist, physics, molecular, national
laboratory, genetic,
fusion,
lab, massachusetts institute, physicist, mit, cell, research team, chemistry, nobel prize, experiment","gene, dna, mice, molecules, biology"
Space program,"nasa, space administration, national aeronautic, space station, space shuttle, spacecraft, astronauts, orbit, booster, mann, shuttle, rocket, unmanned, launches, moon, satellite, robot, space, drone, aeronautic","nasa, space administration, national aeronautic, space station, space shuttle"
Systems,"task force,
task, current system, centralized, decentralized, system work, complexity, efficient,
inefficiency, workable, cumbersome,
innovation, antiquated, inefficient,
function, rigid, flexible, solution, mechanism, find ways","task force, task, current system, centralized, decentralized"
Size,"big chunk, chunk,
large chunk, smaller, bigger, smaller company, rough double, rely heavily, size, rapid grow,
larger company,
larger, bigger share, big reason, grow rapid, huge amount,
larger share, grow number, grow fast, big part","big chunk, chunk, large chunk, smaller, bigger"
Wide range,"wide range, vary wide, vast majority, broad range, wide variety,
large number,
limit number,
large portion, vary, wide, small portion, unusual
large,
large amount, significant number, significant portion, small number, significant amount, wide considered, vast, range","wide range, vary wide, vast majority, broad range, wide variety"
Activists,"icahn, carl
icahn,
investor carl, getty, pennzoil, carl,
texaco, white plain, source close, holmes,
interfere,
forestall, attempt, source, phillip, plain, nybased, control,
intention, apparent","icahn, carl
icahn, investor carl, getty, pennzoil"
Announce plan,"announce plan, plan announce, unveil plan, announce earlier, previous announce, yesterdays announcement, announce restructure, company announce, outline plan,
latest move, announce, plan include, restructure plan, move aim, current plan, announcement, company plan, plan call, expansion plan, unveil Table IA.I – Continued from previous page","announce plan, plan announce, unveil plan, announce earlier, previous announce"
Major concerns,"raise concern, major concern, express concern, concern,
increase concern, voice concern, concern raise, cit, held, addition, grow concern, significant, continue, remain, considered, represent significant, add,
fully, represent major,
lead","raise concern, major concern, express concern, concern, increase concern"
Futures/indices,"spot
index, dollar yen, brother treasury, commodity oil, oil barrel,
treasury index,
future index, bond lehman, stock volume,
jonesaig future, vol share, nasdaq vol, vol,
jonesaig, bond shearson, market stock, share nasdaq, volume share, yld,
industrial rose","spot
index, dollar yen, brother treasury, commodity oil, oil barrel"
Corrections/amplifications,"amplifications, correction amplifications, article correction,
incorrect, news article,
incorrect state, relate article,
incorrect report, article, correction, misstated, york contribute, wsj, wsj sept, contribute, wsj march, source wsj, wsj research, money invest, washington contribute","amplifications, correction amplifications, article correction, incorrect, news article"
Buffett,"buffett, berkshire, hathaway, berkshire hathaway, warren buffett, warren, omaha neb, omaha, neb, billionaire investor, brandon, cit, billionaire, significant, large part, continue, part due, charlie, held, substantial","buffett, berkshire, hathaway, berkshire hathaway, warren buffett"
Mexico,"mexican, salinas, mexican government, grupo, mexico, mexico city, ernesto,
lopez, mexican peso,
telefonos, president carlo, peso, enrique, nafta, raul, miguel, slim, gonzalez,
luis, american free","mexican, salinas, mexican government, grupo, mexico"
Restraint,"temporary restrain, restrain order, postponement, postpone, delay, extension,
indefinite,
temporarily, expiration date, restrain, deadline, halt, cancel, temporary, extend, cancellation, schedule, resume, suspension, shutdown","temporary restrain, restrain order, postponement, postpone, delay"
News conference,"news conference,
told news, press conference,
told reporter, conference, press release, news release, remark, attendees, public appearance, reporter, confer- ence call, public statement, statement release,
issue statement, apology,
transcript,
industry conference, apologize,
forum","news conference, told news, press conference, told reporter, conference"
Company spokesperson,"call seek, seek comment, return call, spokesman confirm, return phone, spokesman decline, spokesman add, return telephone, company spokesman, comment spokesman, official decline, company spokeswoman,
immediately respond, decline comment, spokeswoman decline, company decline, elaborate, unavailable, comment, spokeswoman","call seek, seek comment, return call, spokesman confirm, return phone"
People familiar,"people familiar,
familiar, person familiar, person close, people close, people involve, person, matter,
individual
familiar, executive familiar, potential deal, situation, briefed, earlier report, official
familiar, potential sale, knowledgeable, discussion, unclear, remain unclear","people familiar, familiar, person familiar, person close, people close"
Agreement reached,"definitive agreement, sign letter, sign definitive, definitive, reach definitive, agreement call,
lone star, preliminary agreement, agreement
include, agreement reach, disclose term, agreement sign, sign agreement,
tentative agree, agreement, financial
term, final agreement,
license agreement, reach agreement,
lone","definitive agreement, sign letter, sign definitive, definitive, reach definitive"
Committees,"panel member, advisory committee, advisory panel, recommendation, proposal
include, proposal call, advisory group, final decision, panel, vote unanimous, advisory, commission report, advisory board, proposal, committee member, public hear, recommend, commission approve, unanimous, final report Table IA.I – Continued from previous page","panel member, advisory committee, advisory panel, recommendation, proposal
include"
Negotiations,"stick point, negotiator, negotiate table, side agree, negotiation,
impasse, reach deal, reach compromise, resolve dispute, unresolved,
talk aim, stumble block, negotiate, haggling,
talk, contentious issue, start
talk, hold talk, deadlock, resolve","stick point, negotiator, negotiate table, side agree, negotiation"
Soft drinks,"coke, bottler, pepsi, softdrink, cola, cocacola, soft drink, pepsico, north america, beverage company, schweppes, soda, north american, pepper, beverage, fountain, cadbury schweppes, american operation, volume growth, cadbury","coke, bottler, pepsi, softdrink, cola"
Small business,"smallbusiness, small business, smallbusiness owner, business owner, national
federation,
independent business, small firm, small company, business admin- istration, mediumsize business,
large corporation, mediumsize, midsize company, big business, entrepreneurship, big corporation, entrepreneur, businesss, business community,
large company","smallbusiness, small business, smallbusiness owner, business owner, national
federation"
Cable,"warner cable,
time warner, aol
time, warner, parsons, warner communication,
levin, adelphia, aol, warner incs, bronfman, buy time, cox,
turner, hbo, comcast, cable system, america online, armstrong, media giant","warner cable, time warner, aol
time, warner, parsons"
Fast food,"franchisee,
taco bell, burger king,
fastfood, rite aid, starbucks, pizza hut, mcdonald,
taco,
fastfood chain, pizza, rite, restaurant, restaurant chain, burger, wendy,
fastfood restaurant, hut, sandwiches, hamburger","franchisee, taco bell, burger king, fastfood, rite aid"
Competition,"goodyear, stiff competition,
tire rubber,
increase competition, fierce competition, goodyear tire, competitive advantage, competitive market,
increase compet- itive, high competitive,
intense competition,
tire maker, competitive environment, competition,
face stiff, competitive pressure, akron ohio,
tough competi- tion, akron, grow competition","goodyear, stiff competition, tire rubber, increase competition, fierce competition"
Chemicals/paper,"union carbide, carbide, specialty chemical, georgiapacific, chemical company, pont, weyerhaeuser, chemical concern, chemical business, dupont, chemical maker, paper product, hercules,
international paper, paper company, coatings, danbury, chemical
industry, wilmington,
forestproducts","union carbide, carbide, specialty chemical, georgiapacific, chemical company"
Venture capital,"venture,
joint venture, venture capitalist, venture capital, venturecapital firm, venturecapital,
form joint, venture partner, venture fund, venturecapital
fund, jointventure partner,
joint, capitalist, startup company,
jointventure, byers, startup, perkins,
joint owned,
form partnership","venture, joint venture, venture capitalist, venture capital, venturecapital firm"
Tobacco,"tobacco, smokers,
tobacco company, cigarette, philip morris, nicotine,
tobacco industry, morris, cigarette maker, reynolds tobacco, philip morriss, altria, morriss, antismoking, marlboro, morris cos, bradstreet, dun, dun bradstreet, nabisco hold","tobacco, smokers, tobacco company, cigarette, philip morris"
Subsidiaries,"owned subsidiary, wholly owned, spinoff,
itt, parent company, unit
include, separate company, wholly, noncore, business unit, noncore asset, operate unit, spin, operation include, service unit, service division, spun, divestiture, subsidiary, core business","owned subsidiary, wholly owned, spinoff, itt, parent company"
Credit cards,"mastercard, credit card, debit card, debit, creditcard company, card, creditcard issuer, american express, creditcard, expresss, creditcard business, check account, visa,
teller machine,
teller, payment system, hallmark, prepaid, express, merchant Table IA.I – Continued from previous page","mastercard, credit card, debit card, debit, creditcard company"
Couriers,"postal service,
fedex, postal, unit parcel, ups, parcel service, post office,
federal express, parcel, mail, envelope, firstclass, memphis tenn, direct mail, mem- phis, downs, delivery system, airborne, mailorder, stamp","postal service, fedex, postal, unit parcel, ups"
Foods/consumer goods,"sara lee, general mill, nestle, hershey, avon, campbell soup, diapers, detergent, cereal,
toothpaste, heinz, quaker oats,
ice cream, sara,
information resource, unilever, quaker, yogurt, shampoo, chocolate","sara lee, general mill, nestle, hershey, avon"
Insurance,"policyholders,
life insurance, reinsurance,
insurance department,
insurance regulator, allstate,
insurance commissioner, mutual
life,
life insurer,
insurance business,
insurance broker, propertycasualty, metlife,
insurance unit, metropolitan life,
insurance operation,
life casualty, aig,
lifeinsurance, aetna life","policyholders, life insurance, reinsurance, insurance department, insurance regulator"
Luxury/beverages,"lvmh, vuitton, hennessy louis,
louis vuitton, moet, moet hennessy,
lvmh moet, beer, brewer, wine, coors, brewery, anheuserbusch cos,
liquor, brew, an- heuserbusch, scotch, whiskey,
luxurygoods, budweiser","lvmh, vuitton, hennessy louis, louis vuitton, moet"
Casinos,"casino, atlantic city, marriott, hilton, carnival, hilton hotel, hotel chain, hotel room,
inn, caesars, resort, mirage, hotel, hyatt, poker, casino operator, vegas, circus, hospitality,
lodge","casino, atlantic city, marriott, hilton, carnival"
Revenue growth,"growth strategy, growth opportunity, annual revenue, boost revenue, growth area, company revenue,
total revenue, company growth, revenue growth, growth potential, core business, generate revenue, sanford bernstein, post revenue,
future growth, growth plan, company core,
fastergrowing, revenue stream, increase revenue","growth strategy, growth opportunity, annual revenue, boost revenue, growth area"
Internet,"facebook, web site, search engine, alibaba, yahoo, ebay, youtube, home page,
internet user, online advertise, portal, socialnetworking, social network,
inter- net company, web,
twitter, web page, online,
internet site, amazon","facebook, web site, search engine, alibaba, yahoo"
Mobile devices,"iphone, smartphone, android, handset,
ipad, blackberry, mobile device, nokia, apple incs, mobile phone,
tablet, rim, cellphone, qualcomm,
ipod, steve job, mobile, galaxy,
telefon,
text message","iphone, smartphone, android, handset, ipad"
