topic,idx,source,sink,claim,paper_id,abstract
Recession,10,uncertainty,stock market returns,Uncertainty negatively impacts stock market returns in the short-term,9,"Abstract Uncertainty rises in recessions and falls in booms. But what is the causal relationship? We construct cross-country panel data on stock market returns to proxy for first- and second-moment shocks and instrument these with natural disasters, terrorist attacks, and political shocks. Our IV regression results reveal a robust negative short-term impact of second moments (uncertainty) on growth. Employing multiple vector autoregression estimation approaches, relying on a range of identifying assumptions, also reveals a negative impact of uncertainty on growth. Finally, we show that these results are reproducible in a conventional micro–macro business cycle model with time-varying uncertainty."
Macroeconomic data,11,second moments (uncertainty),growth,Second moments (uncertainty) negatively impact growth,9,"Abstract Uncertainty rises in recessions and falls in booms. But what is the causal relationship? We construct cross-country panel data on stock market returns to proxy for first- and second-moment shocks and instrument these with natural disasters, terrorist attacks, and political shocks. Our IV regression results reveal a robust negative short-term impact of second moments (uncertainty) on growth. Employing multiple vector autoregression estimation approaches, relying on a range of identifying assumptions, also reveals a negative impact of uncertainty on growth. Finally, we show that these results are reproducible in a conventional micro–macro business cycle model with time-varying uncertainty."
SEC,12,mandatory disclosure requirements,abnormal excess returns,The OTC firms most affected by the 1964 Amendments had abnormal excess returns of about 3.5 percent in the weeks immediately surrounding the announcement they had begun to comply with the new requirements.,10,"The 1964 Securities Acts Amendments extended the mandatory disclosure requirements that had applied to listed firms since 1934 to large firms traded Over-the-Counter (OTC). We find several pieces of evidence indicating that investors valued these disclosure requirements, two of which are particularly striking. First, a firm-level event study reveals that the OTC firms most affected by the 1964 Amendments had abnormal excess returns of about 3.5 percent in the weeks immediately surrounding the announcement thai they had begun to comply with the new requirements. Second, we estimate that the most affected OTC firms had abnormal excess returns ranging between 11.5 and 22.1 percent in the period between when the legislation was initially proposed and when it went into force. These returns are adjusted for the standard four factors and are relative to NYSE/AMEX firms, matched on size and book-to-market equity, that were unaffected by the legislation. While we cannot determine how much of shareholders' gains were a transfer from insiders of these same companies, our results suggest that mandatory disclosure causes managers to focus more narrowly on maximizing shareholder value."
SEC,13,mandatory disclosure requirements,abnormal excess returns,The most affected OTC firms had abnormal excess returns ranging between 11.5 and 22.1 percent in the period between when the legislation was initially proposed and when it went into force.,10,"The 1964 Securities Acts Amendments extended the mandatory disclosure requirements that had applied to listed firms since 1934 to large firms traded Over-the-Counter (OTC). We find several pieces of evidence indicating that investors valued these disclosure requirements, two of which are particularly striking. First, a firm-level event study reveals that the OTC firms most affected by the 1964 Amendments had abnormal excess returns of about 3.5 percent in the weeks immediately surrounding the announcement thai they had begun to comply with the new requirements. Second, we estimate that the most affected OTC firms had abnormal excess returns ranging between 11.5 and 22.1 percent in the period between when the legislation was initially proposed and when it went into force. These returns are adjusted for the standard four factors and are relative to NYSE/AMEX firms, matched on size and book-to-market equity, that were unaffected by the legislation. While we cannot determine how much of shareholders' gains were a transfer from insiders of these same companies, our results suggest that mandatory disclosure causes managers to focus more narrowly on maximizing shareholder value."
Macroeconomic data,14,rare economic disasters,stock returns,The potential for rare economic disasters explains the volatility of stock returns.,11,"The potential for rare economic disasters explains a lot of asset-pricing puzzles. I calibrate disaster probabilities from the twentieth century global history, especially the sharp contractions associated with World War I, the Great Depression, and World War II. The puzzles that can be explained include the high equity premium, low risk-free rate, and volatile stock returns. Another mystery that may be resolved is why expected real interest rates were low in the United States during major wars, such as World War II. The model, an extension of work by Rietz, maintains the tractable framework of a representative agent, time-additive and isoelastic preferences, and complete markets. The results hold with i.i.d. shocks to productivity growth in a Lucas-tree type economy and also with the inclusion of capital formation."
NA,15,supporting the Nazi movement,stock returns,"Firms supporting the Nazi movement experienced unusually high returns, outperforming unconnected ones by 5% to 8% between January and March 1933.",12,"Abstract This paper examines the value of connections between German industry and the Nazi movement in early 1933. Drawing on previously unused contemporary sources about management and supervisory board composition and stock returns, we find that one out of seven firms, and a large proportion of the biggest companies, had substantive links with the National Socialist German Workers' Party. Firms supporting the Nazi movement experienced unusually high returns, outperforming unconnected ones by 5% to 8% between January and March 1933. These results are not driven by sectoral composition and are robust to alternative estimators and definitions of affiliation."
Schools,16,perceived returns to education,stock returns,"Students given information on higher measured returns completed more years of school, which is tied to perceived returns to education affecting schooling decisions.",13,"Economists emphasize the link between market returns to education and investments in schooling. Though many studies estimate these returns with earnings data, it is the perceived returns that affect schooling decisions, and these perceptions may be inaccurate. Using survey data for eighth-grade boys in the Dominican Republic, we find that the perceived returns to secondary school are extremely low, despite high measured returns. Students at randomly selected schools given information on the higher measured returns completed on average 0.20-0.35 more years of school over the next four years than those who were not. (c) 2010 by the President and Fellows of Harvard College and the Massachusetts Institute of Technology.."
Unions,17,vote share in support of the union,cumulative abnormal returns,There is a negative relationship between the cumulative abnormal returns and the vote share in support of the union.,15,"We estimate the effect of new private-sector unionization on publicly traded firms' equity value in the United States over the 1961--1999 period using a newly assembled sample of National Labor Relations Board (NLRB) representation elections matched to stock market data. Event-study estimates show an average union effect on the equity value of the firm equivalent to $40, 500 per unionized worker, an effect that takes 15 to 18 months after unionization to fully materialize, and one that could not be detected by a short-run event study. At the same time, point estimates from a regression discontinuity design--comparing the stock market impact of close union election wins to close losses--are considerably smaller and close to zero. We find a negative relationship between the cumulative abnormal returns and the vote share in support of the union, allowing us to reconcile these seemingly contradictory findings. Copyright 2012, Oxford University Press."
C-suite,18,executives reduce the lower bound of the forecast confidence interval,stock returns,Executives reduce the lower bound of the forecast confidence interval during times of high market uncertainty affects stock returns.,16,"Abstract Using a unique 10-year panel that includes more than 13,300 expected stock market return probability distributions, we find that executives are severely miscalibrated, producing distributions that are too narrow: realized market returns are within the executives’ 80% confidence intervals only 36% of the time. We show that executives reduce the lower bound of the forecast confidence interval during times of high market uncertainty; however, ex post miscalibration is worst during periods of high uncertainty. We also find that executives who are miscalibrated about the stock market show similar miscalibration regarding their own firms’ prospects. Finally, firms with miscalibrated executives seem to follow more aggressive corporate policies: investing more and using more debt financing."
C-suite,19,firms with miscalibrated executives,stock returns,Firms with miscalibrated executives follow more aggressive corporate policies which impacts stock returns.,16,"Abstract Using a unique 10-year panel that includes more than 13,300 expected stock market return probability distributions, we find that executives are severely miscalibrated, producing distributions that are too narrow: realized market returns are within the executives’ 80% confidence intervals only 36% of the time. We show that executives reduce the lower bound of the forecast confidence interval during times of high market uncertainty; however, ex post miscalibration is worst during periods of high uncertainty. We also find that executives who are miscalibrated about the stock market show similar miscalibration regarding their own firms’ prospects. Finally, firms with miscalibrated executives seem to follow more aggressive corporate policies: investing more and using more debt financing."
Investment banking,20,multinational corporations,stock market returns,Multinational corporations exhibit higher stock market returns than nonmultinational firms.,17,"Abstract This article starts by unveiling a strong empirical regularity: multinational corporations exhibit higher stock market returns and earning yields than nonmultinational firms. Within nonmultinationals, exporters exhibit higher earning yields and returns than firms selling only in their domestic market. To explain this pattern, we develop a real option value model where firms are heterogeneous in productivity and have to decide whether and how to sell in a foreign market where demand is risky. Selling abroad is a source of risk exposure to firms: following a negative shock, they are reluctant to exit the foreign market because they would forgo the sunk cost they paid to enter. Multinational firms are the most exposed because of the higher costs they have to pay to invest. The calibrated model is able to match both aggregate U.S. export and foreign direct investment data, and the observed cross-sectional differences in earning yields and returns."
Trade agreements,21,exporters,earning yields and returns,Exporters exhibit higher earning yields and returns than firms selling only in their domestic market.,17,"Abstract This article starts by unveiling a strong empirical regularity: multinational corporations exhibit higher stock market returns and earning yields than nonmultinational firms. Within nonmultinationals, exporters exhibit higher earning yields and returns than firms selling only in their domestic market. To explain this pattern, we develop a real option value model where firms are heterogeneous in productivity and have to decide whether and how to sell in a foreign market where demand is risky. Selling abroad is a source of risk exposure to firms: following a negative shock, they are reluctant to exit the foreign market because they would forgo the sunk cost they paid to enter. Multinational firms are the most exposed because of the higher costs they have to pay to invest. The calibrated model is able to match both aggregate U.S. export and foreign direct investment data, and the observed cross-sectional differences in earning yields and returns."
Programs / initiatives,22,social skills,labor market return,The labor market return to social skills was much greater in the 2000s than in the mid-1980s and 1990s.,19,"Abstract The labor market increasingly rewards social skills. Between 1980 and 2012, jobs requiring high levels of social interaction grew by nearly 12 percentage points as a share of the U.S. labor force. Math-intensive but less social jobs—including many STEM occupations—shrank by 3.3 percentage points over the same period. Employment and wage growth were particularly strong for jobs requiring high levels of both math skill and social skills. To understand these patterns, I develop a model of team production where workers “trade tasks” to exploit their comparative advantage. In the model, social skills reduce coordination costs, allowing workers to specialize and work together more efficiently. The model generates predictions about sorting and the relative returns to skill across occupations, which I investigate using data from the NLSY79 and the NLSY97. Using a comparable set of skill measures and covariates across survey waves, I find that the labor market return to social skills was much greater in the 2000s than in the mid-1980s and 1990s."
Biology / chemistry / physics,23,Initial allowance of an ex ante valuable patent,Firm productivity,Initial allowance of an ex ante valuable patent generates substantial increases in firm productivity which affects stock returns.,20,"Abstract This article analyzes how patent-induced shocks to labor productivity propagate into worker compensation using a new linkage of U.S. patent applications to U.S. business and worker tax records. We infer the causal effects of patent allowances by comparing firms whose patent applications were initially allowed to those whose patent applications were initially rejected. To identify patents that are ex ante valuable, we extrapolate the excess stock return estimates of Kogan et al. (2017) to the full set of accepted and rejected patent applications based on predetermined firm and patent application characteristics. An initial allowance of an ex ante valuable patent generates substantial increases in firm productivity and worker compensation. By contrast, initial allowances of lower ex ante value patents yield no detectable effects on firm outcomes. Patent allowances lead firms to increase employment, but entry wages and workforce composition are insensitive to patent decisions. On average, workers capture roughly 30 cents of every dollar of patent-induced surplus in higher earnings. This share is roughly twice as high among workers present since the year of application. These earnings effects are concentrated among men and workers in the top half of the earnings distribution and are paired with corresponding improvements in worker retention among these groups. We interpret these earnings responses as reflecting the capture of economic rents by senior workers, who are most costly for innovative firms to replace."
Government budgets,24,Patent allowances,Employment,Patent allowances lead firms to increase employment which could enhance stock returns.,20,"Abstract This article analyzes how patent-induced shocks to labor productivity propagate into worker compensation using a new linkage of U.S. patent applications to U.S. business and worker tax records. We infer the causal effects of patent allowances by comparing firms whose patent applications were initially allowed to those whose patent applications were initially rejected. To identify patents that are ex ante valuable, we extrapolate the excess stock return estimates of Kogan et al. (2017) to the full set of accepted and rejected patent applications based on predetermined firm and patent application characteristics. An initial allowance of an ex ante valuable patent generates substantial increases in firm productivity and worker compensation. By contrast, initial allowances of lower ex ante value patents yield no detectable effects on firm outcomes. Patent allowances lead firms to increase employment, but entry wages and workforce composition are insensitive to patent decisions. On average, workers capture roughly 30 cents of every dollar of patent-induced surplus in higher earnings. This share is roughly twice as high among workers present since the year of application. These earnings effects are concentrated among men and workers in the top half of the earnings distribution and are paired with corresponding improvements in worker retention among these groups. We interpret these earnings responses as reflecting the capture of economic rents by senior workers, who are most costly for innovative firms to replace."
Macroeconomic data,25,Patent allowances,Stock returns,"Workers capture roughly 30 cents of every dollar of patent-induced surplus in higher earnings, indicating a positive relationship between patent allowances and stock returns.",20,"Abstract This article analyzes how patent-induced shocks to labor productivity propagate into worker compensation using a new linkage of U.S. patent applications to U.S. business and worker tax records. We infer the causal effects of patent allowances by comparing firms whose patent applications were initially allowed to those whose patent applications were initially rejected. To identify patents that are ex ante valuable, we extrapolate the excess stock return estimates of Kogan et al. (2017) to the full set of accepted and rejected patent applications based on predetermined firm and patent application characteristics. An initial allowance of an ex ante valuable patent generates substantial increases in firm productivity and worker compensation. By contrast, initial allowances of lower ex ante value patents yield no detectable effects on firm outcomes. Patent allowances lead firms to increase employment, but entry wages and workforce composition are insensitive to patent decisions. On average, workers capture roughly 30 cents of every dollar of patent-induced surplus in higher earnings. This share is roughly twice as high among workers present since the year of application. These earnings effects are concentrated among men and workers in the top half of the earnings distribution and are paired with corresponding improvements in worker retention among these groups. We interpret these earnings responses as reflecting the capture of economic rents by senior workers, who are most costly for innovative firms to replace."
Macroeconomic data,26,factors,expected stock returns,the proliferation of 'factors' that explain the cross-sectional variation of expected stock returns,21,"Abstract Different agents need to make a prediction. They observe identical data, but have different models: they predict using different explanatory variables. We study which agent believes they have the best predictive ability—as measured by the smallest subjective posterior mean squared prediction error—and show how it depends on the sample size. With small samples, we present results suggesting it is an agent using a low-dimensional model. With large samples, it is generally an agent with a high-dimensional model, possibly including irrelevant variables, but never excluding relevant ones. We apply our results to characterize the winning model in an auction of productive assets, to argue that entrepreneurs and investors with simple models will be overrepresented in new sectors, and to understand the proliferation of “factors” that explain the cross-sectional variation of expected stock returns in the asset-pricing literature."
Education & Schools,27,labor market returns,reasoning skill,Changes in labor market returns explain 37% of the measured increase in reasoning skill,22,"Abstract A large literature in cognitive science studies the puzzling “Flynn effect” of rising fluid intelligence (reasoning skill) in rich countries. We develop an economic model in which a cohort’s mix of skills is determined by different skills’ relative returns in the labor market and by the technology for producing skills. We estimate the model using administrative data from Sweden. Combining data from exams taken at military enlistment with earnings records from the tax register, we document an increase in the relative labor market return to logical reasoning skill as compared to vocabulary knowledge. The estimated model implies that changes in labor market returns explain 37% of the measured increase in reasoning skill, and can also explain the decline in knowledge. An original survey of parents, an analysis of trends in school curricula, and an analysis of occupational characteristics show evidence of increasing emphasis on reasoning as compared to knowledge."
Schools,28,perceived marriage market return to education,number of girls still in school at age 16,Eliminating the perceived marriage market return to education causes a 60% drop in the number of girls still in school at age 16.,23,"Abstract We develop a new methodology to estimate subjective beliefs from hypothetical-choice data. Our identification approach is based on the novel insight that by varying the amount of information on future realizations of stochastic variables, discrete-choice experiments can identify not only preferences but also subjective beliefs. We formally prove this result in a general setting and apply it to design a strategic survey instrument to measure Rajasthani parents’ subjective beliefs over the joint distribution of girls’ age of marriage, education, and marriage match quality. Our approach allows us to quantify the importance of perceived marriage market returns to education and youth, and perform various counterfactual simulation exercises. We find that eliminating the perceived marriage market return to education causes a 60% drop in the number of girls still in school at age 16, and almost none continue their education by age 18. Responses to our strategic survey instrument allow us accurately to predict realized schooling trajectories in follow-up data we collect from the same sample five years after our experimental data collection."
Programs / initiatives,29,responses to our strategic survey instrument,realized schooling trajectories,Responses to our strategic survey instrument allow us accurately to predict realized schooling trajectories.,23,"Abstract We develop a new methodology to estimate subjective beliefs from hypothetical-choice data. Our identification approach is based on the novel insight that by varying the amount of information on future realizations of stochastic variables, discrete-choice experiments can identify not only preferences but also subjective beliefs. We formally prove this result in a general setting and apply it to design a strategic survey instrument to measure Rajasthani parents’ subjective beliefs over the joint distribution of girls’ age of marriage, education, and marriage match quality. Our approach allows us to quantify the importance of perceived marriage market returns to education and youth, and perform various counterfactual simulation exercises. We find that eliminating the perceived marriage market return to education causes a 60% drop in the number of girls still in school at age 16, and almost none continue their education by age 18. Responses to our strategic survey instrument allow us accurately to predict realized schooling trajectories in follow-up data we collect from the same sample five years after our experimental data collection."
Macroeconomic data,30,the number of dynamic factors,excess stock returns,The number of dynamic factors driving excess stock returns is related to stock returns.,24,"In this paper we study high-dimensional time series that have the generalized dynamic factor structure. We develop a test of the null of k 0 factors against the alternative that the number of factors is larger than k 0 but no larger than k 1 >k 0. Our test statistic equals max k 0 >k&les;k 1 (Gamma k - Gamma k+1 )(Gamma k+1 - Gamma k+2 ), where Gamma i is the ith largest eigenvalue of the smoothed periodogram estimate of the spectral density matrix of data at a prespecified frequency. We describe the asymptotic distribution of the statistic, as the dimensionality and the number of observations rise, as a function of the Tracy-Widom distribution and tabulate the critical values of the test. As an application, we test different hypotheses about the number of dynamic factors in macroeconomic time series and about the number of dynamic factors driving excess stock returns. Copyright 2009 The Econometric Society."
Macroeconomic data,31,momentum factors,stock returns,"momentum factors are at least as important, if not more important, than size and value in explaining equity return comovements",25,"This paper develops a new estimation procedure for characteristic-based factor models&#13;\nof stock returns. We treat the factor model as a weighted additive nonparametric&#13;\nregression model, with the factor returns serving as time-varying weights and a set&#13;\nof univariate nonparametric functions relating security characteristic to the associated&#13;\nfactor betas. We use a time-series and cross-sectional pooled weighted additive nonparametric&#13;\nregression methodology to simultaneously estimate the factor returns and&#13;\ncharacteristic-beta functions. By avoiding the curse of dimensionality, our methodology&#13;\nallows for a larger number of factors than existing semiparametric methods. We&#13;\napply the technique to the three-factor Fama–French model, Carhart’s four-factor extension&#13;\nof it that adds a momentum factor, and a five-factor extension that adds an&#13;\nown-volatility factor. We find that momentum and own-volatility factors are at least as&#13;\nimportant, if not more important, than size and value in explaining equity return comovements.&#13;\nWe test the multifactor beta pricing theory against a general alternative&#13;\nusing a new nonparametric test"
Macroeconomic data,32,own-volatility factors,stock returns,"own-volatility factors are at least as important, if not more important, than size and value in explaining equity return comovements",25,"This paper develops a new estimation procedure for characteristic-based factor models&#13;\nof stock returns. We treat the factor model as a weighted additive nonparametric&#13;\nregression model, with the factor returns serving as time-varying weights and a set&#13;\nof univariate nonparametric functions relating security characteristic to the associated&#13;\nfactor betas. We use a time-series and cross-sectional pooled weighted additive nonparametric&#13;\nregression methodology to simultaneously estimate the factor returns and&#13;\ncharacteristic-beta functions. By avoiding the curse of dimensionality, our methodology&#13;\nallows for a larger number of factors than existing semiparametric methods. We&#13;\napply the technique to the three-factor Fama–French model, Carhart’s four-factor extension&#13;\nof it that adds a momentum factor, and a five-factor extension that adds an&#13;\nown-volatility factor. We find that momentum and own-volatility factors are at least as&#13;\nimportant, if not more important, than size and value in explaining equity return comovements.&#13;\nWe test the multifactor beta pricing theory against a general alternative&#13;\nusing a new nonparametric test"
Earnings forecasts,33,univariate and multivariate stock return prediction models,stock returns,We strongly reject the stability of univariate and multivariate stock return prediction models in the postwar and post-oil-shocks periods.,26,"Checking parameter stability of econometric models is a long-standing problem. Almost all existing structural change tests in econometrics are designed to detect abrupt breaks. Little attention has been paid to smooth structural changes, which may be more realistic in economics. We propose a consistent test for smooth structural changes as well as abrupt structural breaks with known or unknown change points. The idea is to estimate smooth time-varying parameters by local smoothing and compare the fitted values of the restricted constant parameter model and the unrestricted time-varying parameter model. The test is asymptotically pivotal and does not require prior information about the alternative. A simulation study highlights the merits of the proposed test relative to a variety of popular tests for structural changes. In an application, we strongly reject the stability of univariate and multivariate stock return prediction models in the postwar and post-oil-shocks periods."
Programs / initiatives,34,ambiguity aversion,equity premia,The model can generate the countercyclical variation of equity premia and equity volatility.,27,"We propose a novel generalized recursive smooth ambiguity model which permits a three-way separation among risk aversion, ambiguity aversion, and intertemporal substitution. We apply this utility model to a consumption-based asset-pricing model in which consumption and dividends follow hidden Markov regime-switching processes. Our calibrated model can match the mean equity premium, the mean risk-free rate, and the volatility of the equity premium observed in the data. In addition, our model can generate a variety of dynamic asset-pricing phenomena, including the procyclical variation of price–dividend ratios, the countercyclical variation of equity premia and equity volatility, the leverage effect, and the mean reversion of excess returns. The key intuition is that an ambiguity-averse agent behaves pessimistically by attaching more weight to the pricing kernel in bad times when his continuation values are low."
Macroeconomic data,35,generalized recursive smooth ambiguity model,mean equity premium,Our calibrated model can match the mean equity premium observed in the data.,27,"We propose a novel generalized recursive smooth ambiguity model which permits a three-way separation among risk aversion, ambiguity aversion, and intertemporal substitution. We apply this utility model to a consumption-based asset-pricing model in which consumption and dividends follow hidden Markov regime-switching processes. Our calibrated model can match the mean equity premium, the mean risk-free rate, and the volatility of the equity premium observed in the data. In addition, our model can generate a variety of dynamic asset-pricing phenomena, including the procyclical variation of price–dividend ratios, the countercyclical variation of equity premia and equity volatility, the leverage effect, and the mean reversion of excess returns. The key intuition is that an ambiguity-averse agent behaves pessimistically by attaching more weight to the pricing kernel in bad times when his continuation values are low."
Macroeconomic data,36,hidden Markov regime-switching processes,price–dividend ratios,The model can generate the procyclical variation of price–dividend ratios.,27,"We propose a novel generalized recursive smooth ambiguity model which permits a three-way separation among risk aversion, ambiguity aversion, and intertemporal substitution. We apply this utility model to a consumption-based asset-pricing model in which consumption and dividends follow hidden Markov regime-switching processes. Our calibrated model can match the mean equity premium, the mean risk-free rate, and the volatility of the equity premium observed in the data. In addition, our model can generate a variety of dynamic asset-pricing phenomena, including the procyclical variation of price–dividend ratios, the countercyclical variation of equity premia and equity volatility, the leverage effect, and the mean reversion of excess returns. The key intuition is that an ambiguity-averse agent behaves pessimistically by attaching more weight to the pricing kernel in bad times when his continuation values are low."
Earnings forecasts,37,ambiguous asset's alpha,stock returns,Higher model uncertainty depends on the ambiguous asset's alpha and impacts portfolio rebalancing.,28,"We derive the analogue of the classic Arrow-Pratt approximation of the certainty equivalent under model uncertainty as de…ned by the smooth model of decision making under ambiguity of Klibano¤, Marinacci and Mukerji (2005).We study its scope via a portfolio allocation exercise that delivers a tractable mean-variance model adjusted for model uncertainty.In a problem with a risk-free asset, a risky asset, and an ambiguous asset, we …nd that portfolio rebalancing in response to higher model uncertainty only depends on the ambiguous asset's alpha, setting the performance of the risky asset as benchmark.In addition, the portfolios recommended by our model are not systematically conservative on the share held in the ambiguous asset: indeed, in general, it is not true that greater ambiguity reduces the optimal demand for the ambiguous asset.The analytical tractability of the enhanced Arrow-Pratt approximation renders our model especially well suited for calibration exercises aimed at exploring the consequences of ambiguity aversion on equilibrium asset prices.""Crises feed uncertainty."
